year,state,state_fips,candidate,party,candidatevotes,totalvotes,vote_share,two_party_votes,two_party_vote_share
1948,Alabama,1,Harry Truman,Democrat,0,214980,0,40930,0
1948,Alabama,1,Thomas Dewey,Republican,40930,214980,19.03898037,40930,100
1952,Alabama,1,Adlai Stevenson,Democrat,275075,426120,64.55341218,424306,64.829392
1952,Alabama,1,Dwight Eisenhower,Republican,149231,426120,35.02088614,424306,35.170608
1956,Alabama,1,Adlai Stevenson,Democrat,280844,496871,56.52251792,476538,58.9342298
1956,Alabama,1,Dwight Eisenhower,Republican,195694,496871,39.38527304,476538,41.0657702
1960,Alabama,1,John Kennedy,Democrat,318303,564473,56.38941101,556284,57.21951377
1960,Alabama,1,Richard Nixon,Republican,237981,564473,42.1598553,556284,42.78048623
1964,Alabama,1,Lyndon Johnson,Democrat,0,689817,0,479085,0
1964,Alabama,1,Barry Goldwater,Republican,479085,689817,69.45102832,479085,100
1968,Alabama,1,Hubert Humphrey,Democrat,196579,1049917,18.72328956,343502,57.22790551
1968,Alabama,1,Richard Nixon,Republican,146923,1049917,13.99377284,343502,42.77209449
1972,Alabama,1,George McGovern,Democrat,256923,1006093,25.53670486,985624,26.06703976
1972,Alabama,1,Richard Nixon,Republican,728701,1006093,72.42879137,985624,73.93296024
1976,Alabama,1,"CARTER, JIMMY",Democrat,659170,1182850,55.72726888,1163240,56.66672398
1976,Alabama,1,"FORD, GERALD",Republican,504070,1182850,42.61487086,1163240,43.33327602
1980,Alabama,1,"REAGAN, RONALD",Republican,654192,1341929,48.75012016,1290922,50.67633831
1980,Alabama,1,"CARTER, JIMMY",Democrat,636730,1341929,47.44885907,1290922,49.32366169
1984,Alabama,1,"REAGAN, RONALD",Republican,872849,1441713,60.54249355,1424748,61.26339535
1984,Alabama,1,"MONDALE, WALTER",Democrat,551899,1441713,38.28078127,1424748,38.73660465
1988,Alabama,1,"BUSH, GEORGE H.W.",Republican,815576,1378476,59.16504894,1365082,59.7455684
1988,Alabama,1,"DUKAKIS, MICHAEL",Democrat,549506,1378476,39.86329831,1365082,40.2544316
1992,Alabama,1,"BUSH, GEORGE H.W.",Republican,804283,1688060,47.6454036,1494363,53.82112646
1992,Alabama,1,"CLINTON, BILL",Democrat,690080,1688060,40.8800635,1494363,46.17887354
1996,Alabama,1,"DOLE, ROBERT",Republican,769044,1534349,50.12184321,1431209,53.73387115
1996,Alabama,1,"CLINTON, BILL",Democrat,662165,1534349,43.1560877,1431209,46.26612885
2000,Alabama,1,"BUSH, GEORGE W.",Republican,941173,1666272,56.48375535,1633784,57.60694192
2000,Alabama,1,"GORE, AL",Democrat,692611,1666272,41.56650295,1633784,42.39305808
2004,Alabama,1,"BUSH, GEORGE W.",Republican,1176394,1883415,62.46068976,1870327,62.89777135
2004,Alabama,1,"KERRY, JOHN",Democrat,693933,1883415,36.84440232,1870327,37.10222865
2008,Alabama,1,"MCCAIN, JOHN",Republican,1266546,2099819,60.31691303,2080025,60.89090275
2008,Alabama,1,"OBAMA, BARACK H.",Democrat,813479,2099819,38.74043429,2080025,39.10909725
2012,Alabama,1,"ROMNEY, MITT",Republican,1255925,2074338,60.54582233,2051621,61.21622853
2012,Alabama,1,"OBAMA, BARACK H.",Democrat,795696,2074338,38.3590331,2051621,38.78377147
2016,Alabama,1,"TRUMP, DONALD J.",Republican,1318255,2123372,62.08309236,2047802,64.37414359
2016,Alabama,1,"CLINTON, HILLARY",Democrat,729547,2123372,34.35794576,2047802,35.62585641
2020,Alabama,1,"BIDEN, JOSEPH R. JR",Democrat,849624,2323282,36.56999021,2290794,37.08862517
2020,Alabama,1,"TRUMP, DONALD J.",Republican,1441170,2323282,62.03164317,2290794,62.91137483
1960,Alaska,2,John Kennedy,Democrat,29809,60762,49.05862217,60762,49.05862217
1960,Alaska,2,Richard Nixon,Republican,30953,60762,50.94137783,60762,50.94137783
1964,Alaska,2,Lyndon Johnson,Democrat,44329,67259,65.90790824,67259,65.90790824
1964,Alaska,2,Barry Goldwater,Republican,22930,67259,34.09209176,67259,34.09209176
1968,Alaska,2,Hubert Humphrey,Democrat,35411,83035,42.64587222,73011,48.50091082
1968,Alaska,2,Richard Nixon,Republican,37600,83035,45.28210995,73011,51.49908918
1972,Alaska,2,George McGovern,Democrat,32967,95219,34.62229177,88316,37.3284569
1972,Alaska,2,Richard Nixon,Republican,55349,95219,58.12810468,88316,62.6715431
1976,Alaska,2,"FORD, GERALD",Republican,71555,123574,57.9045754,115613,61.89182877
1976,Alaska,2,"CARTER, JIMMY",Democrat,44058,123574,35.65313092,115613,38.10817123
1980,Alaska,2,"REAGAN, RONALD",Republican,86112,158445,54.34819654,127954,67.29918564
1980,Alaska,2,"CARTER, JIMMY",Democrat,41842,158445,26.4079018,127954,32.70081436
1984,Alaska,2,"REAGAN, RONALD",Republican,138377,207605,66.65398232,200384,69.05591265
1984,Alaska,2,"MONDALE, WALTER",Democrat,62007,207605,29.86777775,200384,30.94408735
